汉字,笔顺,名称,UCS,image_paths
九,3 5,15,04E5D,"pic/noto_serif/九.png,pic/source_han_sans/九.png,pic/AlibabaPuHuiTi/九.png,pic/kaiti/九.png,pic/hanyi_senty_wen/九.png"
刁,5 1,16,05201,"pic/noto_serif/刁.png,pic/source_han_sans/刁.png,pic/AlibabaPuHuiTi/刁.png,pic/kaiti/刁.png,pic/hanyi_senty_wen/刁.png"
了,5 2,17,04E86,"pic/noto_serif/了.png,pic/source_han_sans/了.png,pic/AlibabaPuHuiTi/了.png,pic/kaiti/了.png,pic/hanyi_senty_wen/了.png"
刀,5 3,18,05200,"pic/noto_serif/刀.png,pic/source_han_sans/刀.png,pic/AlibabaPuHuiTi/刀.png,pic/kaiti/刀.png,pic/hanyi_senty_wen/刀.png"
力,5 3,19,0529B,"pic/noto_serif/力.png,pic/source_han_sans/力.png,pic/AlibabaPuHuiTi/力.png,pic/kaiti/力.png,pic/hanyi_senty_wen/力.png"
乃,5 3,20,04E43,"pic/noto_serif/乃.png,pic/source_han_sans/乃.png,pic/AlibabaPuHuiTi/乃.png,pic/kaiti/乃.png,pic/hanyi_senty_wen/乃.png"
又,5 4,21,053C8,"pic/noto_serif/又.png,pic/source_han_sans/又.png,pic/AlibabaPuHuiTi/又.png,pic/kaiti/又.png,pic/hanyi_senty_wen/又.png"
三,1 1 1,22,04E09,"pic/noto_serif/三.png,pic/source_han_sans/三.png,pic/AlibabaPuHuiTi/三.png,pic/kaiti/三.png,pic/hanyi_senty_wen/三.png"
干,1 1 2,23,05E72,"pic/noto_serif/干.png,pic/source_han_sans/干.png,pic/AlibabaPuHuiTi/干.png,pic/kaiti/干.png,pic/hanyi_senty_wen/干.png"
于,1 1 2,24,04E8E,"pic/noto_serif/于.png,pic/source_han_sans/于.png,pic/AlibabaPuHuiTi/于.png,pic/kaiti/于.png,pic/hanyi_senty_wen/于.png"
亏,1 1 5,25,04E8F,"pic/noto_serif/亏.png,pic/source_han_sans/亏.png,pic/AlibabaPuHuiTi/亏.png,pic/kaiti/亏.png,pic/hanyi_senty_wen/亏.png"
工,1 2 1,26,05DE5,"pic/noto_serif/工.png,pic/source_han_sans/工.png,pic/AlibabaPuHuiTi/工.png,pic/kaiti/工.png,pic/hanyi_senty_wen/工.png"
土,1 2 1,27,0571F,"pic/noto_serif/土.png,pic/source_han_sans/土.png,pic/AlibabaPuHuiTi/土.png,pic/kaiti/土.png,pic/hanyi_senty_wen/土.png"
士,1 2 1,28,058EB,"pic/noto_serif/士.png,pic/source_han_sans/士.png,pic/AlibabaPuHuiTi/士.png,pic/kaiti/士.png,pic/hanyi_senty_wen/士.png"
才,1 2 3,29,0624D,"pic/noto_serif/才.png,pic/source_han_sans/才.png,pic/AlibabaPuHuiTi/才.png,pic/kaiti/才.png,pic/hanyi_senty_wen/才.png"
下,1 2 4,30,04E0B,"pic/noto_serif/下.png,pic/source_han_sans/下.png,pic/AlibabaPuHuiTi/下.png,pic/kaiti/下.png,pic/hanyi_senty_wen/下.png"
寸,1 2 4,31,05BF8,"pic/noto_serif/寸.png,pic/source_han_sans/寸.png,pic/AlibabaPuHuiTi/寸.png,pic/kaiti/寸.png,pic/hanyi_senty_wen/寸.png"
大,1 3 4,32,05927,"pic/noto_serif/大.png,pic/source_han_sans/大.png,pic/AlibabaPuHuiTi/大.png,pic/kaiti/大.png,pic/hanyi_senty_wen/大.png"
丈,1 3 4,33,04E08,"pic/noto_serif/丈.png,pic/source_han_sans/丈.png,pic/AlibabaPuHuiTi/丈.png,pic/kaiti/丈.png,pic/hanyi_senty_wen/丈.png"
与,1 5 1,34,04E0E,"pic/noto_serif/与.png,pic/source_han_sans/与.png,pic/AlibabaPuHuiTi/与.png,pic/kaiti/与.png,pic/hanyi_senty_wen/与.png"
万,1 5 3,35,04E07,"pic/noto_serif/万.png,pic/source_han_sans/万.png,pic/AlibabaPuHuiTi/万.png,pic/kaiti/万.png,pic/hanyi_senty_wen/万.png"
上,2 1 1,36,04E0A,"pic/noto_serif/上.png,pic/source_han_sans/上.png,pic/AlibabaPuHuiTi/上.png,pic/kaiti/上.png,pic/hanyi_senty_wen/上.png"
小,2 3 4,37,05C0F,"pic/noto_serif/小.png,pic/source_han_sans/小.png,pic/AlibabaPuHuiTi/小.png,pic/kaiti/小.png,pic/hanyi_senty_wen/小.png"
口,2 5 1,38,053E3,"pic/noto_serif/口.png,pic/source_han_sans/口.png,pic/AlibabaPuHuiTi/口.png,pic/kaiti/口.png,pic/hanyi_senty_wen/口.png"
山,2 5 2,39,05C71,"pic/noto_serif/山.png,pic/source_han_sans/山.png,pic/AlibabaPuHuiTi/山.png,pic/kaiti/山.png,pic/hanyi_senty_wen/山.png"
巾,2 5 2,40,05DFE,"pic/noto_serif/巾.png,pic/source_han_sans/巾.png,pic/AlibabaPuHuiTi/巾.png,pic/kaiti/巾.png,pic/hanyi_senty_wen/巾.png"
千,3 1 2,41,05343,"pic/noto_serif/千.png,pic/source_han_sans/千.png,pic/AlibabaPuHuiTi/千.png,pic/kaiti/千.png,pic/hanyi_senty_wen/千.png"
乞,3 1 5,42,04E5E,"pic/noto_serif/乞.png,pic/source_han_sans/乞.png,pic/AlibabaPuHuiTi/乞.png,pic/kaiti/乞.png,pic/hanyi_senty_wen/乞.png"
川,3 2 2,43,05DDD,"pic/noto_serif/川.png,pic/source_han_sans/川.png,pic/AlibabaPuHuiTi/川.png,pic/kaiti/川.png,pic/hanyi_senty_wen/川.png"
亿,3 2 5,44,04EBF,"pic/noto_serif/亿.png,pic/source_han_sans/亿.png,pic/AlibabaPuHuiTi/亿.png,pic/kaiti/亿.png,pic/hanyi_senty_wen/亿.png"
个,3 4 2,45,04E2A,"pic/noto_serif/个.png,pic/source_han_sans/个.png,pic/AlibabaPuHuiTi/个.png,pic/kaiti/个.png,pic/hanyi_senty_wen/个.png"
夕,3 5 4,46,05915,"pic/noto_serif/夕.png,pic/source_han_sans/夕.png,pic/AlibabaPuHuiTi/夕.png,pic/kaiti/夕.png,pic/hanyi_senty_wen/夕.png"
久,3 5 4,47,04E45,"pic/noto_serif/久.png,pic/source_han_sans/久.png,pic/AlibabaPuHuiTi/久.png,pic/kaiti/久.png,pic/hanyi_senty_wen/久.png"
么,3 5 4,48,04E48,"pic/noto_serif/么.png,pic/source_han_sans/么.png,pic/AlibabaPuHuiTi/么.png,pic/kaiti/么.png,pic/hanyi_senty_wen/么.png"
勺,3 5 4,49,052FA,"pic/noto_serif/勺.png,pic/source_han_sans/勺.png,pic/AlibabaPuHuiTi/勺.png,pic/kaiti/勺.png,pic/hanyi_senty_wen/勺.png"
凡,3 5 4,50,051E1,"pic/noto_serif/凡.png,pic/source_han_sans/凡.png,pic/AlibabaPuHuiTi/凡.png,pic/kaiti/凡.png,pic/hanyi_senty_wen/凡.png"
丸,3 5 4,51,04E38,"pic/noto_serif/丸.png,pic/source_han_sans/丸.png,pic/AlibabaPuHuiTi/丸.png,pic/kaiti/丸.png,pic/hanyi_senty_wen/丸.png"
及,3 5 4,52,053CA,"pic/noto_serif/及.png,pic/source_han_sans/及.png,pic/AlibabaPuHuiTi/及.png,pic/kaiti/及.png,pic/hanyi_senty_wen/及.png"
广,4 1 3,53,05E7F,"pic/noto_serif/广.png,pic/source_han_sans/广.png,pic/AlibabaPuHuiTi/广.png,pic/kaiti/广.png,pic/hanyi_senty_wen/广.png"
亡,4 1 5,54,04EA1,"pic/noto_serif/亡.png,pic/source_han_sans/亡.png,pic/AlibabaPuHuiTi/亡.png,pic/kaiti/亡.png,pic/hanyi_senty_wen/亡.png"
门,4 2 5,55,095E8,"pic/noto_serif/门.png,pic/source_han_sans/门.png,pic/AlibabaPuHuiTi/门.png,pic/kaiti/门.png,pic/hanyi_senty_wen/门.png"
丫,4 3 2,56,04E2B,"pic/noto_serif/丫.png,pic/source_han_sans/丫.png,pic/AlibabaPuHuiTi/丫.png,pic/kaiti/丫.png,pic/hanyi_senty_wen/丫.png"
义,4 3 4,57,04E49,"pic/noto_serif/义.png,pic/source_han_sans/义.png,pic/AlibabaPuHuiTi/义.png,pic/kaiti/义.png,pic/hanyi_senty_wen/义.png"
之,4 5 4,58,04E4B,"pic/noto_serif/之.png,pic/source_han_sans/之.png,pic/AlibabaPuHuiTi/之.png,pic/kaiti/之.png,pic/hanyi_senty_wen/之.png"
尸,5 1 3,59,05C38,"pic/noto_serif/尸.png,pic/source_han_sans/尸.png,pic/AlibabaPuHuiTi/尸.png,pic/kaiti/尸.png,pic/hanyi_senty_wen/尸.png"
己,5 1 5,60,05DF1,"pic/noto_serif/己.png,pic/source_han_sans/己.png,pic/AlibabaPuHuiTi/己.png,pic/kaiti/己.png,pic/hanyi_senty_wen/己.png"
已,5 1 5,61,05DF2,"pic/noto_serif/已.png,pic/source_han_sans/已.png,pic/AlibabaPuHuiTi/已.png,pic/kaiti/已.png,pic/hanyi_senty_wen/已.png"
巳,5 1 5,62,05DF3,"pic/noto_serif/巳.png,pic/source_han_sans/巳.png,pic/AlibabaPuHuiTi/巳.png,pic/kaiti/巳.png,pic/hanyi_senty_wen/巳.png"
弓,5 1 5,63,05F13,"pic/noto_serif/弓.png,pic/source_han_sans/弓.png,pic/AlibabaPuHuiTi/弓.png,pic/kaiti/弓.png,pic/hanyi_senty_wen/弓.png"
子,5 2 1,64,05B50,"pic/noto_serif/子.png,pic/source_han_sans/子.png,pic/AlibabaPuHuiTi/子.png,pic/kaiti/子.png,pic/hanyi_senty_wen/子.png"
卫,5 2 1,65,0536B,"pic/noto_serif/卫.png,pic/source_han_sans/卫.png,pic/AlibabaPuHuiTi/卫.png,pic/kaiti/卫.png,pic/hanyi_senty_wen/卫.png"
也,5 2 5,66,04E5F,"pic/noto_serif/也.png,pic/source_han_sans/也.png,pic/AlibabaPuHuiTi/也.png,pic/kaiti/也.png,pic/hanyi_senty_wen/也.png"
女,5 3 1,67,05973,"pic/noto_serif/女.png,pic/source_han_sans/女.png,pic/AlibabaPuHuiTi/女.png,pic/kaiti/女.png,pic/hanyi_senty_wen/女.png"
刃,5 3 4,68,05203,"pic/noto_serif/刃.png,pic/source_han_sans/刃.png,pic/AlibabaPuHuiTi/刃.png,pic/kaiti/刃.png,pic/hanyi_senty_wen/刃.png"
飞,5 3 4,69,098DE,"pic/noto_serif/飞.png,pic/source_han_sans/飞.png,pic/AlibabaPuHuiTi/飞.png,pic/kaiti/飞.png,pic/hanyi_senty_wen/飞.png"
习,5 4 1,70,04E60,"pic/noto_serif/习.png,pic/source_han_sans/习.png,pic/AlibabaPuHuiTi/习.png,pic/kaiti/习.png,pic/hanyi_senty_wen/习.png"
叉,5 4 4,71,053C9,"pic/noto_serif/叉.png,pic/source_han_sans/叉.png,pic/AlibabaPuHuiTi/叉.png,pic/kaiti/叉.png,pic/hanyi_senty_wen/叉.png"
马,5 5 1,72,09A6C,"pic/noto_serif/马.png,pic/source_han_sans/马.png,pic/AlibabaPuHuiTi/马.png,pic/kaiti/马.png,pic/hanyi_senty_wen/马.png"
乡,5 5 3,73,04E61,"pic/noto_serif/乡.png,pic/source_han_sans/乡.png,pic/AlibabaPuHuiTi/乡.png,pic/kaiti/乡.png,pic/hanyi_senty_wen/乡.png"
丰,1 1 1 2,74,04E30,"pic/noto_serif/丰.png,pic/source_han_sans/丰.png,pic/AlibabaPuHuiTi/丰.png,pic/kaiti/丰.png,pic/hanyi_senty_wen/丰.png"
王,1 1 2 1,75,0738B,"pic/noto_serif/王.png,pic/source_han_sans/王.png,pic/AlibabaPuHuiTi/王.png,pic/kaiti/王.png,pic/hanyi_senty_wen/王.png"
开,1 1 3 2,76,05F00,"pic/noto_serif/开.png,pic/source_han_sans/开.png,pic/AlibabaPuHuiTi/开.png,pic/kaiti/开.png,pic/hanyi_senty_wen/开.png"
井,1 1 3 2,77,04E95,"pic/noto_serif/井.png,pic/source_han_sans/井.png,pic/AlibabaPuHuiTi/井.png,pic/kaiti/井.png,pic/hanyi_senty_wen/井.png"
天,1 1 3 4,78,05929,"pic/noto_serif/天.png,pic/source_han_sans/天.png,pic/AlibabaPuHuiTi/天.png,pic/kaiti/天.png,pic/hanyi_senty_wen/天.png"
夫,1 1 3 4,79,0592B,"pic/noto_serif/夫.png,pic/source_han_sans/夫.png,pic/AlibabaPuHuiTi/夫.png,pic/kaiti/夫.png,pic/hanyi_senty_wen/夫.png"
元,1 1 3 5,80,05143,"pic/noto_serif/元.png,pic/source_han_sans/元.png,pic/AlibabaPuHuiTi/元.png,pic/kaiti/元.png,pic/hanyi_senty_wen/元.png"
无,1 1 3 5,81,065E0,"pic/noto_serif/无.png,pic/source_han_sans/无.png,pic/AlibabaPuHuiTi/无.png,pic/kaiti/无.png,pic/hanyi_senty_wen/无.png"
云,1 1 5 4,82,04E91,"pic/noto_serif/云.png,pic/source_han_sans/云.png,pic/AlibabaPuHuiTi/云.png,pic/kaiti/云.png,pic/hanyi_senty_wen/云.png"
专,1 1 5 4,83,04E13,"pic/noto_serif/专.png,pic/source_han_sans/专.png,pic/AlibabaPuHuiTi/专.png,pic/kaiti/专.png,pic/hanyi_senty_wen/专.png"
丐,1 2 1 5,84,04E10,"pic/noto_serif/丐.png,pic/source_han_sans/丐.png,pic/AlibabaPuHuiTi/丐.png,pic/kaiti/丐.png,pic/hanyi_senty_wen/丐.png"
扎,1 2 1 5,85,0624E,"pic/noto_serif/扎.png,pic/source_han_sans/扎.png,pic/AlibabaPuHuiTi/扎.png,pic/kaiti/扎.png,pic/hanyi_senty_wen/扎.png"
艺,1 2 2 5,86,0827A,"pic/noto_serif/艺.png,pic/source_han_sans/艺.png,pic/AlibabaPuHuiTi/艺.png,pic/kaiti/艺.png,pic/hanyi_senty_wen/艺.png"
木,1 2 3 4,87,06728,"pic/noto_serif/木.png,pic/source_han_sans/木.png,pic/AlibabaPuHuiTi/木.png,pic/kaiti/木.png,pic/hanyi_senty_wen/木.png"
五,1 2 5 1,88,04E94,"pic/noto_serif/五.png,pic/source_han_sans/五.png,pic/AlibabaPuHuiTi/五.png,pic/kaiti/五.png,pic/hanyi_senty_wen/五.png"
支,1 2 5 4,89,0652F,"pic/noto_serif/支.png,pic/source_han_sans/支.png,pic/AlibabaPuHuiTi/支.png,pic/kaiti/支.png,pic/hanyi_senty_wen/支.png"
厅,1 3 1 2,90,05385,"pic/noto_serif/厅.png,pic/source_han_sans/厅.png,pic/AlibabaPuHuiTi/厅.png,pic/kaiti/厅.png,pic/hanyi_senty_wen/厅.png"
不,1 3 2 4,91,04E0D,"pic/noto_serif/不.png,pic/source_han_sans/不.png,pic/AlibabaPuHuiTi/不.png,pic/kaiti/不.png,pic/hanyi_senty_wen/不.png"
犬,1 3 4 4,92,072AC,"pic/noto_serif/犬.png,pic/source_han_sans/犬.png,pic/AlibabaPuHuiTi/犬.png,pic/kaiti/犬.png,pic/hanyi_senty_wen/犬.png"
太,1 3 4 4,93,0592A,"pic/noto_serif/太.png,pic/source_han_sans/太.png,pic/AlibabaPuHuiTi/太.png,pic/kaiti/太.png,pic/hanyi_senty_wen/太.png"
区,1 3 4 5,94,0533A,"pic/noto_serif/区.png,pic/source_han_sans/区.png,pic/AlibabaPuHuiTi/区.png,pic/kaiti/区.png,pic/hanyi_senty_wen/区.png"
历,1 3 5 3,95,05386,"pic/noto_serif/历.png,pic/source_han_sans/历.png,pic/AlibabaPuHuiTi/历.png,pic/kaiti/历.png,pic/hanyi_senty_wen/历.png"
歹,1 3 5 4,96,06B79,"pic/noto_serif/歹.png,pic/source_han_sans/歹.png,pic/AlibabaPuHuiTi/歹.png,pic/kaiti/歹.png,pic/hanyi_senty_wen/歹.png"
友,1 3 5 4,97,053CB,"pic/noto_serif/友.png,pic/source_han_sans/友.png,pic/AlibabaPuHuiTi/友.png,pic/kaiti/友.png,pic/hanyi_senty_wen/友.png"
尤,1 3 5 4,98,05C24,"pic/noto_serif/尤.png,pic/source_han_sans/尤.png,pic/AlibabaPuHuiTi/尤.png,pic/kaiti/尤.png,pic/hanyi_senty_wen/尤.png"
匹,1 3 5 5,99,05339,"pic/noto_serif/匹.png,pic/source_han_sans/匹.png,pic/AlibabaPuHuiTi/匹.png,pic/kaiti/匹.png,pic/hanyi_senty_wen/匹.png"
车,1 5 1 2,100,08F66,"pic/noto_serif/车.png,pic/source_han_sans/车.png,pic/AlibabaPuHuiTi/车.png,pic/kaiti/车.png,pic/hanyi_senty_wen/车.png"
巨,1 5 1 5,101,05DE8,"pic/noto_serif/巨.png,pic/source_han_sans/巨.png,pic/AlibabaPuHuiTi/巨.png,pic/kaiti/巨.png,pic/hanyi_senty_wen/巨.png"
牙,1 5 2 3,102,07259,"pic/noto_serif/牙.png,pic/source_han_sans/牙.png,pic/AlibabaPuHuiTi/牙.png,pic/kaiti/牙.png,pic/hanyi_senty_wen/牙.png"
屯,1 5 2 5,103,05C6F,"pic/noto_serif/屯.png,pic/source_han_sans/屯.png,pic/AlibabaPuHuiTi/屯.png,pic/kaiti/屯.png,pic/hanyi_senty_wen/屯.png"
戈,1 5 3 4,104,06208,"pic/noto_serif/戈.png,pic/source_han_sans/戈.png,pic/AlibabaPuHuiTi/戈.png,pic/kaiti/戈.png,pic/hanyi_senty_wen/戈.png"
比,1 5 3 5,105,06BD4,"pic/noto_serif/比.png,pic/source_han_sans/比.png,pic/AlibabaPuHuiTi/比.png,pic/kaiti/比.png,pic/hanyi_senty_wen/比.png"
互,1 5 5 1,106,04E92,"pic/noto_serif/互.png,pic/source_han_sans/互.png,pic/AlibabaPuHuiTi/互.png,pic/kaiti/互.png,pic/hanyi_senty_wen/互.png"
切,1 5 5 3,107,05207,"pic/noto_serif/切.png,pic/source_han_sans/切.png,pic/AlibabaPuHuiTi/切.png,pic/kaiti/切.png,pic/hanyi_senty_wen/切.png"
瓦,1 5 5 4,108,074E6,"pic/noto_serif/瓦.png,pic/source_han_sans/瓦.png,pic/AlibabaPuHuiTi/瓦.png,pic/kaiti/瓦.png,pic/hanyi_senty_wen/瓦.png"
止,2 1 2 1,109,06B62,"pic/noto_serif/止.png,pic/source_han_sans/止.png,pic/AlibabaPuHuiTi/止.png,pic/kaiti/止.png,pic/hanyi_senty_wen/止.png"
少,2 3 4 3,110,05C11,"pic/noto_serif/少.png,pic/source_han_sans/少.png,pic/AlibabaPuHuiTi/少.png,pic/kaiti/少.png,pic/hanyi_senty_wen/少.png"
曰,2 5 1 1,111,066F0,"pic/noto_serif/曰.png,pic/source_han_sans/曰.png,pic/AlibabaPuHuiTi/曰.png,pic/kaiti/曰.png,pic/hanyi_senty_wen/曰.png"
日,2 5 1 1,112,065E5,"pic/noto_serif/日.png,pic/source_han_sans/日.png,pic/AlibabaPuHuiTi/日.png,pic/kaiti/日.png,pic/hanyi_senty_wen/日.png"
中,2 5 1 2,113,04E2D,"pic/noto_serif/中.png,pic/source_han_sans/中.png,pic/AlibabaPuHuiTi/中.png,pic/kaiti/中.png,pic/hanyi_senty_wen/中.png"
贝,2 5 3 4,114,08D1D,"pic/noto_serif/贝.png,pic/source_han_sans/贝.png,pic/AlibabaPuHuiTi/贝.png,pic/kaiti/贝.png,pic/hanyi_senty_wen/贝.png"
冈,2 5 3 4,115,05188,"pic/noto_serif/冈.png,pic/source_han_sans/冈.png,pic/AlibabaPuHuiTi/冈.png,pic/kaiti/冈.png,pic/hanyi_senty_wen/冈.png"
内,2 5 3 4,116,05185,"pic/noto_serif/内.png,pic/source_han_sans/内.png,pic/AlibabaPuHuiTi/内.png,pic/kaiti/内.png,pic/hanyi_senty_wen/内.png"
水,2 5 3 4,117,06C34,"pic/noto_serif/水.png,pic/source_han_sans/水.png,pic/AlibabaPuHuiTi/水.png,pic/kaiti/水.png,pic/hanyi_senty_wen/水.png"
见,2 5 3 5,118,089C1,"pic/noto_serif/见.png,pic/source_han_sans/见.png,pic/AlibabaPuHuiTi/见.png,pic/kaiti/见.png,pic/hanyi_senty_wen/见.png"
午,3 1 1 2,119,05348,"pic/noto_serif/午.png,pic/source_han_sans/午.png,pic/AlibabaPuHuiTi/午.png,pic/kaiti/午.png,pic/hanyi_senty_wen/午.png"
牛,3 1 1 2,120,0725B,"pic/noto_serif/牛.png,pic/source_han_sans/牛.png,pic/AlibabaPuHuiTi/牛.png,pic/kaiti/牛.png,pic/hanyi_senty_wen/牛.png"
手,3 1 1 2,121,0624B,"pic/noto_serif/手.png,pic/source_han_sans/手.png,pic/AlibabaPuHuiTi/手.png,pic/kaiti/手.png,pic/hanyi_senty_wen/手.png"
气,3 1 1 5,122,06C14,"pic/noto_serif/气.png,pic/source_han_sans/气.png,pic/AlibabaPuHuiTi/气.png,pic/kaiti/气.png,pic/hanyi_senty_wen/气.png"
毛,3 1 1 5,123,06BDB,"pic/noto_serif/毛.png,pic/source_han_sans/毛.png,pic/AlibabaPuHuiTi/毛.png,pic/kaiti/毛.png,pic/hanyi_senty_wen/毛.png"
壬,3 1 2 1,124,058EC,"pic/noto_serif/壬.png,pic/source_han_sans/壬.png,pic/AlibabaPuHuiTi/壬.png,pic/kaiti/壬.png,pic/hanyi_senty_wen/壬.png"
升,3 1 3 2,125,05347,"pic/noto_serif/升.png,pic/source_han_sans/升.png,pic/AlibabaPuHuiTi/升.png,pic/kaiti/升.png,pic/hanyi_senty_wen/升.png"
夭,3 1 3 4,126,0592D,"pic/noto_serif/夭.png,pic/source_han_sans/夭.png,pic/AlibabaPuHuiTi/夭.png,pic/kaiti/夭.png,pic/hanyi_senty_wen/夭.png"
长,3 1 5 4,127,0957F,"pic/noto_serif/长.png,pic/source_han_sans/长.png,pic/AlibabaPuHuiTi/长.png,pic/kaiti/长.png,pic/hanyi_senty_wen/长.png"
仁,3 2 1 1,128,04EC1,"pic/noto_serif/仁.png,pic/source_han_sans/仁.png,pic/AlibabaPuHuiTi/仁.png,pic/kaiti/仁.png,pic/hanyi_senty_wen/仁.png"
什,3 2 1 2,129,04EC0,"pic/noto_serif/什.png,pic/source_han_sans/什.png,pic/AlibabaPuHuiTi/什.png,pic/kaiti/什.png,pic/hanyi_senty_wen/什.png"
片,3 2 1 5,130,07247,"pic/noto_serif/片.png,pic/source_han_sans/片.png,pic/AlibabaPuHuiTi/片.png,pic/kaiti/片.png,pic/hanyi_senty_wen/片.png"
仆,3 2 2 4,131,04EC6,"pic/noto_serif/仆.png,pic/source_han_sans/仆.png,pic/AlibabaPuHuiTi/仆.png,pic/kaiti/仆.png,pic/hanyi_senty_wen/仆.png"
化,3 2 3 5,132,05316,"pic/noto_serif/化.png,pic/source_han_sans/化.png,pic/AlibabaPuHuiTi/化.png,pic/kaiti/化.png,pic/hanyi_senty_wen/化.png"
仇,3 2 3 5,133,04EC7,"pic/noto_serif/仇.png,pic/source_han_sans/仇.png,pic/AlibabaPuHuiTi/仇.png,pic/kaiti/仇.png,pic/hanyi_senty_wen/仇.png"
币,3 2 5 2,134,05E01,"pic/noto_serif/币.png,pic/source_han_sans/币.png,pic/AlibabaPuHuiTi/币.png,pic/kaiti/币.png,pic/hanyi_senty_wen/币.png"
仍,3 2 5 3,135,04ECD,"pic/noto_serif/仍.png,pic/source_han_sans/仍.png,pic/AlibabaPuHuiTi/仍.png,pic/kaiti/仍.png,pic/hanyi_senty_wen/仍.png"
仅,3 2 5 4,136,04EC5,"pic/noto_serif/仅.png,pic/source_han_sans/仅.png,pic/AlibabaPuHuiTi/仅.png,pic/kaiti/仅.png,pic/hanyi_senty_wen/仅.png"
斤,3 3 1 2,137,065A4,"pic/noto_serif/斤.png,pic/source_han_sans/斤.png,pic/AlibabaPuHuiTi/斤.png,pic/kaiti/斤.png,pic/hanyi_senty_wen/斤.png"
爪,3 3 2 4,138,0722A,"pic/noto_serif/爪.png,pic/source_han_sans/爪.png,pic/AlibabaPuHuiTi/爪.png,pic/kaiti/爪.png,pic/hanyi_senty_wen/爪.png"
反,3 3 5 4,139,053CD,"pic/noto_serif/反.png,pic/source_han_sans/反.png,pic/AlibabaPuHuiTi/反.png,pic/kaiti/反.png,pic/hanyi_senty_wen/反.png"
介,3 4 3 2,140,04ECB,"pic/noto_serif/介.png,pic/source_han_sans/介.png,pic/AlibabaPuHuiTi/介.png,pic/kaiti/介.png,pic/hanyi_senty_wen/介.png"
父,3 4 3 4,141,07236,"pic/noto_serif/父.png,pic/source_han_sans/父.png,pic/AlibabaPuHuiTi/父.png,pic/kaiti/父.png,pic/hanyi_senty_wen/父.png"
从,3 4 3 4,142,04ECE,"pic/noto_serif/从.png,pic/source_han_sans/从.png,pic/AlibabaPuHuiTi/从.png,pic/kaiti/从.png,pic/hanyi_senty_wen/从.png"
仑,3 4 3 5,143,04ED1,"pic/noto_serif/仑.png,pic/source_han_sans/仑.png,pic/AlibabaPuHuiTi/仑.png,pic/kaiti/仑.png,pic/hanyi_senty_wen/仑.png"
今,3 4 4 5,144,04ECA,"pic/noto_serif/今.png,pic/source_han_sans/今.png,pic/AlibabaPuHuiTi/今.png,pic/kaiti/今.png,pic/hanyi_senty_wen/今.png"
